episode,time,r_sum
1,49,4.799999999999999
2,50,4.899999999999999
3,50,4.899999999999999
4,50,4.899999999999999
5,50,4.899999999999999
6,50,4.899999999999999
7,50,4.899999999999999
8,50,4.899999999999999
9,50,4.899999999999999
10,50,4.899999999999999
11,50,4.899999999999999
12,50,4.899999999999999
13,50,4.899999999999999
14,50,4.899999999999999
15,50,4.899999999999999
16,50,4.899999999999999
17,50,4.899999999999999
18,50,4.899999999999999
19,50,4.899999999999999
20,50,4.899999999999999
21,50,4.899999999999999
22,50,4.899999999999999
23,50,4.899999999999999
24,50,4.899999999999999
25,50,4.899999999999999
26,50,4.899999999999999
27,50,4.899999999999999
28,50,4.899999999999999
29,50,4.899999999999999
30,50,4.899999999999999
31,50,4.899999999999999
32,50,4.899999999999999
33,50,4.899999999999999
34,50,4.899999999999999
35,50,4.899999999999999
36,50,4.899999999999999
37,50,4.899999999999999
38,50,4.899999999999999
39,50,4.899999999999999
40,50,4.899999999999999
41,50,4.899999999999999
42,50,4.899999999999999
43,50,4.899999999999999
44,50,4.899999999999999
45,50,4.899999999999999
46,50,4.899999999999999
47,50,4.899999999999999
48,50,4.899999999999999
49,50,4.899999999999999
50,50,4.899999999999999
51,50,4.899999999999999
52,50,4.899999999999999
53,50,4.899999999999999
54,50,4.899999999999999
55,50,4.899999999999999
56,50,4.899999999999999
57,50,4.899999999999999
58,50,4.899999999999999
59,50,4.899999999999999
60,50,4.899999999999999
61,50,4.899999999999999
62,50,4.899999999999999
63,50,4.899999999999999
64,50,4.899999999999999
65,50,4.899999999999999
66,50,4.899999999999999
67,50,4.899999999999999
68,50,4.899999999999999
69,50,4.899999999999999
70,50,4.899999999999999
71,50,4.899999999999999
72,50,4.899999999999999
73,50,4.899999999999999
74,50,4.899999999999999
75,50,4.899999999999999
76,50,4.899999999999999
77,50,4.899999999999999
78,50,4.899999999999999
79,50,4.899999999999999
80,50,4.899999999999999
81,50,4.899999999999999
82,50,4.899999999999999
83,50,4.899999999999999
84,50,4.899999999999999
85,50,4.899999999999999
86,50,4.899999999999999
87,50,4.899999999999999
88,50,4.899999999999999
89,50,4.899999999999999
90,50,4.899999999999999
91,50,4.899999999999999
92,50,4.899999999999999
93,50,4.899999999999999
94,50,4.899999999999999
95,50,4.899999999999999
96,50,4.899999999999999
97,50,4.899999999999999
98,50,4.899999999999999
99,50,4.899999999999999
100,50,4.899999999999999
101,50,4.899999999999999
102,50,4.899999999999999
103,50,4.899999999999999
104,50,4.899999999999999
105,50,4.899999999999999
106,50,4.899999999999999
107,50,4.899999999999999
108,50,4.899999999999999
109,50,4.899999999999999
110,50,4.899999999999999
111,50,4.899999999999999
112,50,4.899999999999999
113,50,4.899999999999999
114,50,4.899999999999999
115,50,4.899999999999999
116,50,4.899999999999999
117,50,4.899999999999999
118,50,4.899999999999999
119,50,4.899999999999999
120,50,4.899999999999999
121,50,4.899999999999999
122,50,4.899999999999999
123,50,4.899999999999999
124,50,4.899999999999999
125,50,4.899999999999999
126,50,4.899999999999999
127,50,4.899999999999999
128,50,4.899999999999999
129,50,4.899999999999999
130,50,4.899999999999999
131,50,4.899999999999999
132,50,4.899999999999999
133,50,4.899999999999999
134,50,4.899999999999999
135,50,4.899999999999999
136,50,4.899999999999999
137,50,4.899999999999999
138,50,4.899999999999999
139,50,4.899999999999999
140,50,4.899999999999999
141,50,4.899999999999999
142,50,4.899999999999999
143,50,4.899999999999999
144,50,4.899999999999999
145,50,4.899999999999999
146,50,4.899999999999999
147,50,4.899999999999999
148,50,4.899999999999999
149,50,4.899999999999999
150,50,4.899999999999999
151,50,4.899999999999999
152,50,4.899999999999999
153,50,4.899999999999999
154,50,4.899999999999999
155,50,4.899999999999999
156,50,4.899999999999999
157,50,4.899999999999999
158,50,4.899999999999999
159,50,4.899999999999999
160,50,4.899999999999999
161,50,4.899999999999999
162,50,4.899999999999999
163,50,4.899999999999999
164,50,4.899999999999999
165,50,4.899999999999999
166,50,4.899999999999999
167,50,4.899999999999999
168,50,4.899999999999999
169,50,4.899999999999999
170,50,4.899999999999999
171,50,4.899999999999999
172,50,4.899999999999999
173,50,4.899999999999999
174,50,4.899999999999999
175,50,4.899999999999999
176,50,4.899999999999999
177,50,4.899999999999999
178,50,4.899999999999999
179,50,4.899999999999999
180,50,4.899999999999999
181,50,4.899999999999999
182,50,4.899999999999999
183,50,4.899999999999999
184,50,4.899999999999999
185,50,4.899999999999999
186,50,4.899999999999999
187,50,4.899999999999999
188,50,4.899999999999999
189,50,4.899999999999999
190,50,4.899999999999999
191,50,4.899999999999999
192,50,4.899999999999999
193,50,4.899999999999999
194,50,4.899999999999999
