相对强度 运行#1,位置 (米 m) 运行#1,相对强度 运行#2,位置 (米 m) 运行#2,相对强度 运行#3,位置 (米 m) 运行#3,相对强度 运行#4,位置 (米 m) 运行#4
0.031631,0.0000,0.026749,0.0000,0.014435,0.0000,0.014328,1.9725E-5
0.032043,0.0000,0.026947,0.0000,0.013626,0.0000,0.015045,1.9725E-5
0.032547,0.0000,0.026947,0.0000,0.014435,0.0000,0.014038,1.9725E-5
0.032242,0.0000,0.026642,0.0000,0.014740,0.0000,0.015045,1.9725E-5
0.032242,0.0000,0.026642,0.0000,0.015457,0.0000,0.015457,1.9725E-5
0.031738,0.0000,0.027466,0.0000,0.014328,0.0000,0.013824,1.9725E-5
0.033264,0.0000,0.026245,0.0000,0.013626,0.0000,0.014740,1.9725E-5
0.032135,0.0000,0.026749,0.0000,0.014130,0.0000,0.014847,1.9725E-5
0.031830,0.0000,0.027466,0.0000,0.014130,0.0000,0.014542,1.9725E-5
0.032440,0.0000,0.027054,0.0000,0.014236,0.0000,0.014236,1.9725E-5
0.033051,0.0000,0.027359,0.0000,0.015045,0.0000,0.014648,1.9725E-5
0.032959,0.0000,0.027054,0.0000,0.015564,0.0000,0.014954,1.9725E-5
0.032242,0.0000,0.026337,0.0000,0.013214,0.0000,0.015656,1.9725E-5
0.032349,0.0000,0.027557,0.0000,0.013931,0.0000,0.014328,1.9725E-5
0.033966,0.0000,0.026855,0.0000,0.013931,0.0000,0.014038,1.9725E-5
0.033768,0.0000,0.027054,0.0000,0.014328,0.0000,0.013931,1.9725E-5
0.033569,0.0000,0.027863,0.0000,0.014435,0.0000,0.014847,1.9725E-5
0.033051,0.0000,0.027054,0.0000,0.014038,0.0000,0.013931,1.9725E-5
0.033875,0.0000,0.027359,0.0000,0.014236,0.0000,0.014435,1.9725E-5
0.034485,0.0000,0.026443,0.0000,0.014954,0.0000,0.014130,1.9725E-5
0.033875,0.0000,0.026749,0.0000,0.013931,0.0000,0.015457,1.9725E-5
0.033356,0.0000,0.027557,0.0000,0.015045,0.0000,0.014847,1.9725E-5
0.033966,0.0000,0.026550,0.0000,0.013824,0.0000,0.014435,3.9450E-5
0.035400,0.0000,0.027466,0.0000,0.014130,0.0000,0.015762,3.9450E-5
0.034180,0.0000,0.026550,0.0000,0.014435,0.0000,0.015762,3.9450E-5
0.035400,0.0000,0.027252,0.0000,0.014130,0.0000,0.014542,3.9450E-5
0.035187,0.0000,0.027145,0.0000,0.014435,0.0000,0.014954,3.9450E-5
0.036011,0.0000,0.026337,0.0000,0.015350,0.0000,0.014954,3.9450E-5
0.035187,0.0000,0.027145,0.0000,0.014236,0.0000,0.015656,3.9450E-5
0.035904,0.0000,0.027557,0.0000,0.014130,0.0000,0.014954,3.9450E-5
0.036102,0.0000,0.026947,0.0000,0.014648,0.0000,0.014328,3.9450E-5
0.036514,0.0000,0.026337,0.0000,0.014847,0.0000,0.015869,3.9450E-5
0.035294,0.0000,0.027145,0.0000,0.014130,0.0000,0.015961,3.9450E-5
0.036819,0.0000,0.028076,0.0000,0.014740,0.0000,0.014038,3.9450E-5
0.036209,0.0000,0.027054,0.0000,0.013931,0.0000,0.015045,3.9450E-5
0.036407,0.0000,0.026138,0.0000,0.015045,0.0000,0.014740,3.9450E-5
0.036102,0.0000,0.027252,0.0000,0.014236,0.0000,0.015045,3.9450E-5
0.034988,0.0000,0.026855,0.0000,0.015152,0.0000,0.014847,3.9450E-5
